code,desc
RespondentID,RespondentID
StartDate,StartDate
EndDate,EndDate
q1_1,We are approaching the limit of the number of people the earth can support.
q1_2,Humans have the right to modify the natural environment to suit their needs.
q1_3,"When humans interfere with nature, it often produces disastrous consequences."
q1_4,Human ingenuity will ensure that we do NOT make the earth unlivable.
q1_5,Humans are severely abusing the environment.
q1_6,The earth has plenty of natural resources if we just learn how to develop them.
q1_7,Plants and animals have as much right as humans to exist.
q2_1,The balance of nature is strong enough to cope with the impacts of modern industrial nations.
q2_2,Despite our special abilities humans are still subject to the laws of nature.
q2_3,Human destruction of the natural environment has been greatly exaggerated.
q2_4,The earth has only limited room and resources.
q2_5,Humans were meant to rule over the rest of nature.
q2_6,The balance of nature is very delicate and easily upset.
q2_7,Humans will eventually learn enough about how nature works to be able to control it.
q2_8,"If things continue on their present course, we will soon experience a major ecological disaster."
q3_1,Installing green technologies (such as solar or wind) in our homes and neighbourhoods will save us money in the long term
q3_2,"Manufacturing solar panels, wind turbines and other alternative energy equipment is a good way to generate jobs"
q3_3,Coal mines have too much influence today
q3_4,I support pollution standards even if it means shutting down factories
q3_5,I must admit that my own behaviour contributes to harming the environment
q3_6,Recent natural disasters were affected by climate change
q3_7,It is God's will that we use up whatever resources nature provides
q4,What do you think?  Do you think that climate change is happening?
q5,How sure are you that climate change is happening?
q6,How sure are you that climate change is not happening?
q7,"Assuming climate change is happening, do you think it is..."
q7_other,Other (please specify)
q8,Which comes closer to your own view?
q9,"Thinking about what you have seen or read, how confident are you in scientific predictions about the effects of climate change?"
q10,"On a scale from -3 (very bad) to +3 (very good), do you think climate change is a bad or a good thing?"
q11,How worried are you about climate change?
q12,How much had you thought about climate change before today?
q13,How important is the issue of climate change to you personally?
q14_1,I could easily change my mind about climate change
q14_2,I have personally experienced the effects of climate change
q15,Which of the following statements comes closest to your view?
q16_1,The greenhouse effect is caused by heat from the sun being trapped by the atmosphere
q16_2,"Per person, Australians produce more greenhouse gas emissions than most other people in the world"
q16_3,Recycling waste helps to reduce greenhouse gas emissions
q16_4,"Today, generating electricity from renewable sources (such as solar and wind) costs about the same as generating electricity from coal"
q16_5,In Australia electricity generation is a bigger source of greenhouse gas emissions than transport
q16_6,Australians pay more for electricity than most other people in the world
q16_7,"Whatever people do, climate change will still have some impacts on the earth"
q16_8,The hole in the ozone layer is a major climate issue
q17,How much do you think climate change will harm you personally?
q18,How much do you think climate change will harm your local area?
q19,How much do you think climate change will harm the world as a whole?
q20,How much do you think climate change will harm future generations?
q21,How much do you think climate change will harm plant and animal species?
q22,When do you think climate change will start to harm people in Australia?
q23_1,If we don't do something now about climate change we could end up having our farmlands turn to desert
q23_2,I have noticed that over the years the climate is changing in my local area
